"STATISTIÈNA REGIJA";"TIP LASTNIŠTVA";"VRSTA STAVBE";"LETO";"Število prebivalcev"
"Koroška";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";18837
"Koroška";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2011";1606
"Koroška";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2015";1473
"Koroška";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2018";1442
"Koroška";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2011";57726
"Koroška";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2015";58502
"Koroška";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2018";57815
"Koroška";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";56827
"Koroška";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";57690
"Koroška";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";56961
"Koroška";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";44103
"Koroška";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";44159
"Koroška";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";43907
"Koroška";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";2550
"Koroška";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";2594
"Koroška";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";2437
"Koroška";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";10174
"Koroška";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";10937
"Koroška";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";10617
"Koroška";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";899
"Koroška";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";812
"Koroška";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";854
"Koroška";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2011";9141
"Koroška";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2015";7869
"Koroška";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2018";6955
